time,open,high,low,close,BITBAY:ETHUSDT: Open,BITBAY:ETHUSDT: High,BITBAY:ETHUSDT: Low,BITBAY:ETHUSDT: Close,MA,Developing Poc,Developing VA High,Developing VA Low,Developing Poc,Developing VA High,Developing VA Low,Developing Poc,Developing VA High,Developing VA Low,Volume,Volume MA,RSI
1625289000,6.878,6.885,6.875,6.885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.137,487.8866500000233,59.64498969848038
1625289300,6.875,6.875,6.857,6.868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,326.264,493.0027500000233,53.694700815161625
1625289600,6.861,6.866,6.851,6.855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,430.87,512.4837000000233,49.6182288907865
1625289900,6.874,6.888,6.87,6.877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,103.592,388.2039500000233,55.741874593373474
1625290200,6.883,6.895,6.883,6.885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,317.25,392.8469000000233,57.75275838319004
1625290500,6.888,6.901,6.885,6.896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1481.943,406.3183000000233,60.4159451226398
1625290800,6.896,6.91,6.896,6.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1350.398,463.5147500000233,63.56407802593158
1625291100,6.91,6.931,6.91,6.915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1209.4,494.5657500000233,64.64552160089333
1625291400,6.912,6.921,6.9,6.915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,233.876,469.2684000000233,64.64552160089333
1625291700,6.92,6.925,6.912,6.925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1130.059,513.3817500000233,66.92273169303232
1625292000,6.924,6.924,6.907,6.907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,695.507,537.8137000000232,59.49439003607265
1625292300,6.902,6.904,6.897,6.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,274.409,547.8756000000233,56.85155080715915
1625292600,6.906,6.91,6.905,6.905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,337.949,541.4019000000233,58.27723856580003
1625292900,6.907,6.912,6.907,6.912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.511,528.6379500000232,60.257085697291984
1625293200,6.915,6.918,6.909,6.918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,231.63,526.5154500000232,61.92486271810861
1625293500,6.918,6.919,6.913,6.913,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,708.007,522.7053500000231,59.67740443722713
1625293800,6.916,6.924,6.916,6.924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,235.077,503.960800000023,62.870101498604335
1625294100,6.919,6.919,6.884,6.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,968.938,547.451400000023,49.75630907903789
1625294400,6.892,6.901,6.891,6.901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,238.278,519.1436000000231,53.160360696653456
1625294700,6.897,6.916,6.89,6.916,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1593.97,597.8532500000231,57.39892181235804
1625295000,6.911,6.916,6.887,6.889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,739.018,632.597300000023,48.83297658159944
1625295300,6.882,6.882,6.871,6.882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,295.587,631.0634500000231,46.879649920930966
1625295600,6.88,6.883,6.861,6.868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,305.435,624.791700000023,43.161137461230695
1625295900,6.87,6.884,6.867,6.883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,538.283,646.5262500000229,47.92703895541754
1625296200,6.878,6.887,6.864,6.869,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,318.78,646.602750000023,44.20174491648853
1625296500,6.872,6.89,6.869,6.886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,417.373,593.3742500000229,49.35005295451745
1625296800,6.891,6.91,6.891,6.897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,297.742,540.741450000023,52.40982885647277
1625297100,6.892,6.987,6.892,6.978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23760.342,1668.288550000023,67.82398843277929
1625297400,6.979,7.012,6.975,7.006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6710.055,1992.097500000023,71.28618113325652
1625297700,7.013,7.036,7.006,7.034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2810.16,2076.102550000023,74.26797535652813
1625298000,7.025,7.033,7.006,7.027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1571.671,2119.910750000023,72.2480399850072
1625298300,7.03,7.059,7.03,7.053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1660.412,2189.210900000023,74.97098934232625
1625298600,7.05,7.072,7.044,7.067,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1788.396,2261.733250000023,76.31838924808007
1625298900,7.071,7.107,7.071,7.086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16311.302,3075.022800000023,78.0457449698637
1625299200,7.086,7.115,7.062,7.062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3022.261,3214.554350000023,71.00082205226373
1625299500,7.068,7.087,7.068,7.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3303.12,3344.310000000023,72.23775927184128
1625299800,7.082,7.098,7.076,7.081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1518.858,3408.4990500000226,73.13524357833657
1625300100,7.089,7.101,7.085,7.091,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,878.165,3403.9604000000227,74.25558420487708
1625300400,7.09,7.097,7.062,7.069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1866.694,3485.3812000000225,67.57855265919486
1625300700,7.067,7.072,7.058,7.068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1209.626,3466.1640000000225,67.28239854072473
1625301000,7.068,7.112,7.066,7.067,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3381.063,3598.2662500000224,66.9663525983282
1625301300,7.071,7.087,7.068,7.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,777.707,3622.372250000022,69.00467546870527
1625301600,7.087,7.1,7.086,7.097,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1494.675,3681.8342500000226,71.48274989342102
1625301900,7.083,7.101,7.081,7.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,512.96,3680.568100000023,71.90955905280687
1625302200,7.098,7.146,7.093,7.139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5041.836,3916.720900000023,76.77581182114535
1625302500,7.14,7.159,7.129,7.147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3423.892,4067.046850000022,77.63181792176067
1625302800,7.148,7.194,7.145,7.182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16842.753,4894.297400000022,80.94150972015498
1625303100,7.183,7.207,7.176,7.207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8402.349,4126.397750000022,82.8890547738855
1625303400,7.204,7.223,7.169,7.217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16141.448,4597.967400000021,83.61050960040352
1625303700,7.217,7.227,7.185,7.192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3783.818,4646.650300000021,75.08689191157524
1625304000,7.185,7.185,7.168,7.175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,636.77,4599.905250000022,69.87071988793821
1625304300,7.176,7.187,7.155,7.158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3271.712,4680.470250000022,65.00737477487657
1625304600,7.161,7.161,7.126,7.144,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7015.009,4941.800900000022,61.227723096921025
1625304900,7.149,7.177,7.132,7.141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2711.673,4261.819450000023,60.417085349543314
1625305200,7.141,7.171,7.141,7.164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2236.772,4222.545000000022,64.31761717983254
1625305500,7.165,7.202,7.165,7.196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1428.646,4128.821300000022,68.90820847762777
1625305800,7.193,7.217,7.19,7.193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1752.727,4140.514750000022,68.02464646869407
1625306100,7.193,7.195,7.18,7.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,508.379,4122.025450000023,64.18403919277569
1625306400,7.19,7.196,7.16,7.162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2565.693,4156.975400000023,59.20013018323038
1625306700,7.166,7.18,7.166,7.174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,966.701,4144.829150000022,61.35457123102033
1625307000,7.179,7.184,7.146,7.159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2122.24,4081.888000000023,57.28270018681092
1625307300,7.165,7.165,7.122,7.126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1011.356,4093.5704500000234,49.499545444459166
1625307600,7.129,7.172,7.127,7.172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3194.05,4178.539200000023,58.0549651266009
1625307900,7.172,7.196,7.172,7.187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,285.323,4167.157350000023,60.41026770290615
1625308200,7.191,7.4,7.186,7.267,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41756.425,6002.886800000024,70.06480811815953
1625308500,7.264,7.275,7.221,7.229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2565.978,5959.991100000024,62.2938828155255
1625308800,7.223,7.237,7.219,7.226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1120.642,5173.8855500000245,61.71196120273948
1625309100,7.225,7.23,7.166,7.167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4098.563,4958.6962500000245,51.518969050669185
1625309400,7.171,7.187,7.156,7.176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3014.898,4302.368750000024,52.79968385582965
1625309700,7.176,7.176,7.134,7.145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3850.032,4305.679450000024,48.08755510539708
1625310000,7.155,7.17,7.131,7.133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2561.998,4401.9408500000245,46.36267640071278
1625310300,7.133,7.152,7.125,7.148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,739.502,4275.330350000024,48.83330750186869
1625310600,7.148,7.153,7.145,7.146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2887.73,4068.966400000024,48.51244615762661
1625310900,7.146,7.154,7.115,7.117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4025.419,4134.6537000000235,43.99816590668168
1625311200,7.121,7.123,7.101,7.108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7566.626,4401.146400000024,42.671082560456185
1625311500,7.108,7.114,7.097,7.097,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4883.411,4573.8846500000245,41.041697246322485
1625311800,7.104,7.104,7.07,7.076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2327.274,4602.612000000025,38.05422224537569
1625312100,7.077,7.1,7.069,7.091,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1473.813,4650.883700000025,41.33885021153049
1625312400,7.083,7.1,7.072,7.076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1906.325,4617.915300000024,39.105791021842556
1625312700,7.08,7.109,7.079,7.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2051.067,4672.133600000025,44.2910612334528
1625313000,7.103,7.115,7.101,7.112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,951.2,4613.581600000024,46.7333954894085
1625313300,7.111,7.121,7.111,7.119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,931.848,4609.606200000024,48.16109724422096
1625313600,7.122,7.248,7.122,7.245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5260.142,4712.910800000024,65.8856898495345
1625313900,7.249,7.249,7.195,7.204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1894.784,4793.383850000024,58.83612198086232
1625314200,7.203,7.211,7.198,7.206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1993.362,2805.2307000000237,59.06620482272278
1625314500,7.206,7.211,7.188,7.211,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1629.08,2758.3858000000237,59.67306392344575
1625314800,7.202,7.215,7.198,7.213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,810.309,2742.8691500000236,59.928970257130175
1625315100,7.214,7.218,7.204,7.217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1521.887,2614.0353500000238,60.46927068796096
1625315400,7.215,7.227,7.168,7.174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11596.542,3043.1175500000236,52.304613482350476
1625315700,7.176,7.192,7.176,7.186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,460.172,2873.6245500000236,54.16456677890856
1625316000,7.184,7.2,7.177,7.186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5304.878,3010.7685500000234,54.16456677890856
1625316300,7.188,7.191,7.147,7.154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3153.975,3131.4922000000233,48.33512928204674
1625316600,7.148,7.168,7.144,7.168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1567.738,3065.4926000000232,50.8285039287345
1625316900,7.166,7.174,7.159,7.171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,629.964,2895.719850000023,51.370097491104424
1625317200,7.174,7.184,7.152,7.157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1374.346,2586.1058500000227,48.67568779576267
1625317500,7.154,7.155,7.14,7.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1725.603,2428.215450000023,47.338709536795335
1625317800,7.152,7.165,7.15,7.161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,248.022,2324.252850000023,49.67782150277936
1625318100,7.166,7.188,7.157,7.187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,919.549,2296.539650000023,54.78950675591142
1625318400,7.185,7.195,7.176,7.188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1670.954,2284.7711000000227,54.97892936961897
1625318700,7.191,7.217,7.188,7.213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,874.951,2225.9653000000226,59.542608952887115
1625319000,7.21,7.21,7.191,7.194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,808.442,2218.827400000023,54.98107580321872
1625319300,7.193,7.208,7.191,7.194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,724.371,2208.453550000023,54.98107580321873
1625319600,7.192,7.2,7.19,7.193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,770.737,1983.983300000023,54.725166641739996
1625319900,7.194,7.232,7.193,7.224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5331.609,2155.824550000023,60.81419201412854
1625320200,7.22,7.271,7.208,7.258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6085.78,2360.445450000023,66.18566803960847
1625320500,7.26,7.288,7.25,7.281,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2661.98,2412.090450000023,69.25582951423416
