time,open,high,low,close,BITBAY:ETHUSDT: Open,BITBAY:ETHUSDT: High,BITBAY:ETHUSDT: Low,BITBAY:ETHUSDT: Close,MA,Developing Poc,Developing VA High,Developing VA Low,Developing Poc,Developing VA High,Developing VA Low,Developing Poc,Developing VA High,Developing VA Low,Volume,Volume MA,RSI
1625289000,31803.36,31864.29,31757.34,31800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.069684,0.2287473000000868,50.72008899649551
1625289300,31824.12,31845.68,31738.02,31759.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.382772,0.24505520000008682,47.77145862504247
1625289600,31739.6,31764.13,31680.25,31723.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.731721,0.37388435000008685,45.28248289864104
1625289900,31775.11,31854.62,31775.11,31796.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.066217,0.33905240000008685,50.88767987656715
1625290200,31860.62,31890,31860.62,31890,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.016832,0.3389993000000868,56.993102429092886
1625290500,31873.98,31904.64,31868.79,31890,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.394764,0.35355815000008683,56.993102429092886
1625290800,31890,31950,31890,31946.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.97718,0.3481959500000868,60.407943846754385
1625291100,31982.77,32051.68,31946.09,32019.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.677592,0.36698260000008676,64.41290449947618
1625291400,32020.05,32155.79,31960.51,32101.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.997051,0.5163005500000868,68.21924071150681
1625291700,32102.89,32177.91,32030.2,32113.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.813733,0.6525143000000867,68.76843038874325
